Question,Category,answer_class,Answer
"Что делать, если я хочу изменить группу или специализацию во время обучения?",Перевод/ запись в группу,11,"Мы можем перевести вас в другую группу в рамках срока обучения и дополнительных 6 месяцев сверху. Срок обучения отсчитывается с даты оплаты обучения.
Количество переводов зависит от срока программы:

Если ваш продукт предусматривает возможность выбора специализации:
12 месяцев — 1 перевод на каждый блок обучения, суммарно 3 перевода на весь срок обучения.
24 месяца — 1 перевод на каждый блок обучения, суммарно 4 перевода на весь срок обучения.
36 месяцев — 1 перевод на каждый блок обучения, суммарно 4 перевода на весь срок обучения.
Если ваш продукт не предусматривает возможность выбора специализации:
6 месяцев — 1 перевод на все время обучения.
9 месяцев — 1 перевод на все время обучения.
12 месяцев — 2 перевода на все время обучения.
Узнать о сроках обучения и специализациях можно из программы обучения на странице вашего продукта."
Из чего состоит основное обучение в личном кабинете?,Портал,15,"Подготовка — курсы, которые помогут подготовиться к основной программе;

Активные — курсы, которые идут сейчас;

Четверти — основные курсы программы. Расписание для них появится автоматически, если вы записаны в группу."
Что входит в программу помощи с трудоустройством вашей школы? Какие инструменты или ресурсы будут предоставлены студентам?,Трудоустройство,27,"Карьерный план
Построите свою стратегию поиска работы: поставите карьерную цель, проанализируете рынок и свой опыт
Составите карту поиска и разработаете несколько вариантов достижения карьерной цели
Составите резюме, которое отобразит ваши сильные стороны
Научитесь отвечать на вопросы рекрутера и рассказывать о себе на собеседовании
Будете готовы приступать к активному поиску работы
Библиотека рекомендаций по поиску работы
Большая подборка статей про поиск работы для студентов. Здесь можно найти профильные рекомендации и дополнительные материалы по подготовке и самому процессу поиска работы.
ㅤ

Партнерские вакансии и стажировки
После успешной подготовки к поиску вы можете откликаться на вакансии и стажировки наших партнеров в Telegram-канале.

Здесь мы публикуем предложения от работодателей, которые обратились напрямую в центр карьеры и готовы рассматривать студентов и выпускников GeekBrains. Вы получите доступ к этому каналу на курсе «Подготовка к поиску работы».

Если появляется конкретная позиция, на которую вы откликаетесь через нас, — мы можем дать дополнительные рекомендации по резюме под конкретный запрос, чтобы шансы на положительное рассмотрение увеличились."
"Подскажите расписание каникул в 2024, пожалуйста",Расписание,21,"Расписание каникул на 2024:

26 декабря 2023 — 8 января 2024
29 апреля — 14 мая
7 августа — 20 августа
30 октября — 12 ноября"
Какие инструменты и ресурсы вы предоставляете для поиска работы после окончания обучения?,Трудоустройство,25,"Мы помогаем нашим выпускникам найти работу. Как мы это делаем, можно узнать здесь - https://gb.ru/employmentassistance"
Кто проверяет мои сданные работы?,Оценки,10,"Задания, которые требуют проверки, оценивает преподаватель или ревьюер. За работу вы можете получить:

«отлично»
«хорошо»
«удовлетворительно»
«не принято»
Если преподаватель поставил «не принято», вы можете пересдать работу. На странице с практическим заданием автоматически откроется возможность прикрепить новый файл или ссылку. Там же будет указан новый дедлайн. Если вы не успеете прикрепить работу в новый срок, пересдать её больше не получится, а оценка останется прежней — «не принято»."
Когда я получу диплом?,Документы,2,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

итоговый экзамен;
защита проекта;
другие формы итоговой аттестационной работы.
Мы подготовим диплом в течение 30 дней от даты итоговой аттестации. Чтобы его получить, обратитесь к куратору."
Какая последовательность курсов в программе?,Организация уроков,6,"Курсы проходят в порядке, указанном в разделе «Моё обучение». Расписание для них будет появляться постепенно."
Где можно найти информацию о расписании курсов и лекций?,Расписание,22,"Расписание вебинаров зависит от группы, в которой вы учитесь. Проверить расписание можно в календаре на gb.ru — там отобразятся все уже запланированные уроки."
"Когда нужно было оплатить обучение, чтобы получить удостоверение?",Документы,3,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

тестирование по всем темам программы;
защита индивидуального проекта, итоговой работы или портфолио;
защита командного проекта;
другие виды итоговых испытаний.
Мы подготовим удостоверение в течение 30 дней от даты итоговой аттестации. Чтобы получить его, обратитесь к куратору."
"Как исправить оценку ""не принято""?",Оценки,10,"Задания, которые требуют проверки, оценивает преподаватель или ревьюер. За работу вы можете получить:

«отлично»
«хорошо»
«удовлетворительно»
«не принято»
Если преподаватель поставил «не принято», вы можете пересдать работу. На странице с практическим заданием автоматически откроется возможность прикрепить новый файл или ссылку. Там же будет указан новый дедлайн. Если вы не успеете прикрепить работу в новый срок, пересдать её больше не получится, а оценка останется прежней — «не принято»."
Как сдать домашнее задание на платформе?,Практические работы,12,"Задание найдёте внутри курса, во вкладке «Практическое задание». Там же сможете сдать работу. Сделать это можно несколькими способами:

- перейти по ссылке и решить задачу, если это задание с автоматической проверкой кода;
- прикрепить файл с выполненным заданием — нажать на зелёную кнопку «Загрузить практическое задание»;
- если делали работу в git или гугл-документе, прикрепить ссылку на него в поле «‎Комментарий к практическому заданию». Не забудьте открыть доступ к документу, чтобы эксперт смог сразу приступить к проверке."
Какие программы и инструменты мне нужны для обучения на тестировщике?,Требования ПО,24,"Специализация «Тестировщик»
Windows

ОС Windows 10 или выше
Процессор 2.30 ГГц или быстрее
Видеокарта 4 Гб видеопамяти
Оперативная память 8+ Гб или больше
Свободное место на жёстком диске 30 Гб и больше
macOS

ОС macOS Catalina (версия 10.15) или выше
Процессор 2.0 ГГц или быстрее
Оперативная память 8+ Гб или больше
Видеокарта 2 Гб видеопамяти
Свободное место на жёстком диске 40 Гб и больше"
Как я могу получить помощь с трудоустройством?,Трудоустройство,26,"Вы можете обратиться за помощью в поиске работы в центр карьеры после завершения обучения по основной программе.

После сдачи итоговой аттестации вам откроется доступ к курсу «Подготовка к поиску работы».

Это практический курс, на котором вы пройдете все основные этапы подготовки к поиску работы. Уроки курса в записи, вы можете проходить их в своем темпе.

После этого вы можете обратиться за помощью в поиске работы в центр карьеры и продолжить работать с карьерным консультантом. На последнем уроке курса будет ссылка на форму, которую необходимо заполнить для обращения в центр карьеры."
Где можно узнать о документах или сертификатах после завершения обучения?,Документы,0,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates"
Где проходят трансляции веинаров?,Организация уроков,5,Обычно уроки проходят на одной из платформ — Zoom или livedigital.
Я не хочу получать увемдомления от вашей платформы. Как их отключить?,Портал,17,"На странице профиля нажмите «Редактировать профиль» и откройте вкладку «‎Уведомления». Чтобы включить или выключить уведомления, переключите тумблер. Если хотите получать сообщения только о некоторых событиях, отметьте их галочкой."
Когда появится рассписание?,Организация уроков,6,"Курсы проходят в порядке, указанном в разделе «Моё обучение». Расписание для них будет появляться постепенно."
Как получить итоговый документ об образовании?,Документы,1,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
Как настроить уведомления о предстоящих уроках в моем профиле?,Портал,17,"На странице профиля нажмите «Редактировать профиль» и откройте вкладку «‎Уведомления». Чтобы включить или выключить уведомления, переключите тумблер. Если хотите получать сообщения только о некоторых событиях, отметьте их галочкой."
Могу ли я получилить диплом на бумаге?,Документы,4,Диплом или удостоверение отправим бесплатно Почтой России.
"Как найти список курсов, которые я должен проходить в рамках моего обучения?",Портал,14,"Вкладка ЛК - Моё обучение. Здесь находятся все курсы, которые вам доступны. Они объединены в несколько разделов — Основное обучение, Отдельные курсы, Буткемп, Карьера, Наставничество."
Что входит в подготовку в основном обучении в ЛК?,Портал,15,"Подготовка — курсы, которые помогут подготовиться к основной программе;

Активные — курсы, которые идут сейчас;

Четверти — основные курсы программы. Расписание для них появится автоматически, если вы записаны в группу."
Сколько я буду учиться?,Программа обучения,13,"Длительность программы зависит от пакета обучения:

Специалист — 6 или 9 месяцев — зависит от технологической специализации, уровень Junior.
Специалист с опытом — 6 месяцев. Опция для тех, у кого уже есть базовые знания или опыт в IT.
Инженер — 12 месяцев, уровень Junior.
Мастер — 24 месяца, уровень Middle.
Про — 36 месяцев, уровень Middle+."
Какие программы и инструменты мне нужны для обучения на программисте?,Требования ПО,23,"Специализация «Программист»
Windows

ОС Windows 10 или выше
Процессор 2.30 ГГц или быстрее
Видеокарта 2 Гб видеопамяти
Оперативная память 8+ Гб или больше
Свободное место на жёстком диске 20 Гб и больше
macOS

ОС macOS 10.13 или выше
Процессор 2.0 ГГц или быстрее
Оперативная память 8+ Гб или больше
Видеокарта 1 Гб видеопамяти
Свободное место на жёстком диске 10 Гб и больше"
Что представляет собой консультация?,Организация уроков,8,"Сейчас в GeekBrains около 40 форматов занятий. Самые популярные: лекции, семинары, практикумы и консультации. Вы можете встретить не все — форматы зависят от программы курса.

Лекции — теоретический блок. Преподаватель рассказывает теорию и показывает примеры. Занятия проходят по расписанию, в формате вебинара или в записи.

Семинары — практический блок. Преподаватель делает упор на прикладные знания, помогает закрепить теорию практикой, отвечает на вопросы студентов. Занятия проходят по расписанию в формате вебинара, но их можно пересмотреть в записи. Советуем заниматься очно, чтобы не копить вопросы.

Практикумы — занятия для ответов на вопросы. Обычно их проводят после сложных тем. Например, на «Разработчике» практикумы есть после курсов «Введение в контроль версий» и «Знакомство с языками программирования». Занятия идут по расписанию в формате вебинара.

Консультации — индивидуальные занятия преподавателя со студентом. Вы можете попросить о консультации, если у вас набралось много вопросов, хотите подтянуть или углубить знания в какой-то теме. Это дополнительная возможность за рамками основной программы. Она оплачивается отдельно."
Что включает в себя помощь с трудоустройством?,Трудоустройство,27,"Карьерный план
Построите свою стратегию поиска работы: поставите карьерную цель, проанализируете рынок и свой опыт
Составите карту поиска и разработаете несколько вариантов достижения карьерной цели
Составите резюме, которое отобразит ваши сильные стороны
Научитесь отвечать на вопросы рекрутера и рассказывать о себе на собеседовании
Будете готовы приступать к активному поиску работы
Библиотека рекомендаций по поиску работы
Большая подборка статей про поиск работы для студентов. Здесь можно найти профильные рекомендации и дополнительные материалы по подготовке и самому процессу поиска работы.
ㅤ

Партнерские вакансии и стажировки
После успешной подготовки к поиску вы можете откликаться на вакансии и стажировки наших партнеров в Telegram-канале.

Здесь мы публикуем предложения от работодателей, которые обратились напрямую в центр карьеры и готовы рассматривать студентов и выпускников GeekBrains. Вы получите доступ к этому каналу на курсе «Подготовка к поиску работы».

Если появляется конкретная позиция, на которую вы откликаетесь через нас, — мы можем дать дополнительные рекомендации по резюме под конкретный запрос, чтобы шансы на положительное рассмотрение увеличились."
В чем заключается разница в структуре и длительности между программой профессиональной переподготовки и программой повышения квалификации?,Программа обучения,20,"Программы профессиональной переподготовки направлены на освоение знаний и навыков в новой для вас сфере. Например, если вы занимаетесь менеджментом, но хотите научиться программировать.

Программы повышения квалификации направлены на совершенствование и получение новых навыков в сфере, в которой у вас уже есть квалификация. Например, если вы копирайтер, но хотите стать редактором."
